game,zone,micro,meso,macro,provenance
Aimlabs,micro,high,low,low,surnex
Beat Saber,micro,high,low,low,surnex
Crossy Road,micro,high,low,low,surnex
CS2 Surf,micro,high,low,low,surnex
Dark Roll,micro,high,low,low,surnex
Devil Daggers,micro,high,low,low,surnex
F-Zero GX,micro,high,low,low,surnex
Flappy Bird,micro,high,low,low,surnex
Friday Night Funkin',micro,high,low,low,surnex
Geometry Dash,micro,high,low,low,surnex
Half Sword,micro,high,low,low,surnex
Hot Lava,micro,high,low,low,surnex
I Wanna Be the Guy,micro,high,low,low,surnex
osu!,micro,high,low,low,surnex
QWOP,micro,high,low,low,surnex
StepMania,micro,high,low,low,surnex
Subway Surfers,micro,high,low,low,surnex
Super Hexagon,micro,high,low,low,surnex
Super Mario Maker,micro,high,low,low,surnex
Super Meat Boy,micro,high,low,low,surnex
SUPERHOT,micro,high,low,low,surnex
Taiko no Tatsujin,micro,high,low,low,surnex
Tetris,micro,high,low,low,surnex
TypeRacer,micro,high,low,low,surnex
Among Us,meso,low,high,low,surnex
Blood on the Clocktower,meso,low,high,low,surnex
Codenames,meso,low,high,low,surnex
Coup,meso,low,high,low,surnex
Gambling / Slots,meso,low,high,low,surnex
Goose Goose Duck,meso,low,high,low,surnex
Grand Theft Auto V,meso,low,high,low,surnex
Guess Who?,meso,low,high,low,surnex
Liar's Bar,meso,low,high,low,surnex
Liar's Dice,meso,low,high,low,surnex
Mafia,meso,low,high,low,surnex
Project Winter,meso,low,high,low,surnex
Rock Paper Scissors,meso,low,high,low,surnex
Spyfall,meso,low,high,low,surnex
Stock Trading,meso,low,high,low,surnex
The Resistance: Avalon,meso,low,high,low,surnex
Town of Salem,meso,low,high,low,surnex
7 Billion Humans,macro,low,low,high,surnex
AdVenture Capitalist,macro,low,low,high,surnex
Cities: Skylines,macro,low,low,high,surnex
Clicker Heroes,macro,low,low,high,surnex
Connect 4,macro,low,low,high,surnex
Cookie Clicker,macro,low,low,high,surnex
Crusader Kings III,macro,low,low,high,surnex
Dwarf Fortress,macro,low,low,high,surnex
Factorio,macro,low,low,high,surnex
Kerbal Space Program,macro,low,low,high,surnex
Mini Motorways,macro,low,low,high,surnex
Oxygen Not Included,macro,low,low,high,surnex
Poly Bridge,macro,low,low,high,surnex
RimWorld,macro,low,low,high,surnex
Satisfactory,macro,low,low,high,surnex
shapez,macro,low,low,high,surnex
SimCity,macro,low,low,high,surnex
Stardew Valley,macro,low,low,high,surnex
Sudoku,macro,low,low,high,surnex
Tic-Tac-Toe,macro,low,low,high,surnex
Victoria 3,macro,low,low,high,surnex
2XKO,micro-meso,high,high,low,surnex
Brawlhalla,micro-meso,high,high,low,surnex
Chivalry II,micro-meso,high,high,low,surnex
Dragon Ball FighterZ,micro-meso,high,high,low,surnex
Fall Guys,micro-meso,med,high,low,surnex
For Honor,micro-meso,high,high,low,surnex
Gang Beasts,micro-meso,med,high,low,surnex
Guilty Gear,micro-meso,high,high,low,surnex
Mario Kart,micro-meso,high,high,low,surnex
Mordhau,micro-meso,high,high,low,surnex
Mortal Kombat,micro-meso,high,high,low,surnex
Party Animals,micro-meso,high,high,low,surnex
Quake,micro-meso,high,high,low,surnex
Street Fighter,micro-meso,high,high,low,surnex
Super Smash Bros,micro-meso,high,high,low,surnex
Tekken,micro-meso,high,high,low,surnex
Tetris 99,micro-meso,high,med,low,surnex
8 Ball Pool,micro-macro,high,low,high,surnex
Call of Duty: Modern Warfare III,micro-macro,high,low,high,surnex
Celeste,micro-macro,high,low,high,surnex
Cuphead,micro-macro,high,low,high,surnex
Dead Cells,micro-macro,high,low,high,surnex
Devil May Cry 5,micro-macro,high,low,high,surnex
Doom,micro-macro,high,low,high,surnex
Getting Over It,micro-macro,high,low,med,surnex
Hades,micro-macro,high,low,high,surnex
Hollow Knight: Silksong,micro-macro,high,low,high,surnex
Jump King,micro-macro,high,low,med,surnex
Monster Hunter,micro-macro,high,low,high,surnex
Rubik's Cube (Speedcubing),micro-macro,high,low,high,surnex
Super Mario 64,micro-macro,high,low,high,surnex
Terraria,micro-macro,high,low,high,surnex
The Forest,micro-macro,high,low,high,surnex
The Legend of Zelda: Breath of the Wild,micro-macro,high,low,high,surnex
ULTRAKILL,micro-macro,high,low,high,surnex
Vampire Survivors,micro-macro,high,low,high,surnex
Balatro,meso-macro,low,med,high,surnex
Battleship,meso-macro,low,high,med,surnex
Chess,meso-macro,low,med,high,surnex
Civilization VI,meso-macro,low,high,high,surnex
Colonist.io,meso-macro,low,high,high,surnex
Hearthstone,meso-macro,low,high,high,surnex
Magic: The Gathering Arena,meso-macro,low,high,high,surnex
Monopoly,meso-macro,low,high,high,surnex
Phasmophobia,meso-macro,low,med,high,surnex
Pokémon VGC,meso-macro,low,high,high,surnex
Poker,meso-macro,low,high,high,surnex
Risk,meso-macro,low,high,high,surnex
Slay the Spire,meso-macro,low,high,high,surnex
Super Auto Pets,meso-macro,low,high,high,surnex
Teamfight Tactics,meso-macro,low,high,high,surnex
Apex Legends,micro-meso-macro,high,high,high,surnex
Arc Raiders,micro-meso-macro,high,high,high,surnex
Battlefield,micro-meso-macro,high,high,high,surnex
Clash of Clans,micro-meso-macro,high,high,high,surnex
Counter-Strike 2,micro-meso-macro,high,high,med,surnex
Deadlock,micro-meso-macro,high,high,high,surnex
Delta Force 2024,micro-meso-macro,high,high,high,surnex
Diablo IV,micro-meso-macro,high,high,high,surnex
Dota 2,micro-meso-macro,high,high,high,surnex
EA Sports FC,micro-meso-macro,high,high,high,surnex
Escape from Tarkov,micro-meso-macro,high,high,high,surnex
Fortnite,micro-meso-macro,high,high,high,surnex
Halo Infinite,micro-meso-macro,high,high,high,surnex
League of Legends,micro-meso-macro,high,high,high,surnex
Marathon,micro-meso-macro,high,high,high,surnex
Marvel Rivals,micro-meso-macro,high,high,high,surnex
NARAKA: BLADEPOINT,micro-meso-macro,high,high,high,surnex
Overwatch 2,micro-meso-macro,high,high,high,surnex
PUBG: Battlegrounds,micro-meso-macro,high,high,high,surnex
Rainbow Six Siege,micro-meso-macro,high,high,high,surnex
Rocket League,micro-meso-macro,high,med,med,surnex
Rust,micro-meso-macro,high,high,high,surnex
Smite,micro-meso-macro,high,high,high,surnex
StarCraft II,micro-meso-macro,high,high,high,surnex
The Finals,micro-meso-macro,high,high,high,surnex
Valorant,micro-meso-macro,high,high,high,surnex
Warframe,micro-meso-macro,high,high,high,surnex
World of Warcraft,micro-meso-macro,high,high,high,surnex
